ID,Name,Genre,Cast,Age
1,Guardians of the Galaxy,Action|Adventure|Sci-Fi,Chris Pratt| Vin Diesel| Bradley Cooper| Zoe Saldana,13+
2,Prometheus,Adventure|Mystery|Sci-Fi,Noomi Rapace| Logan Marshall-Green| Michael Fassbender| Charlize Theron,13+
3,Split,Horror|Thriller,James McAvoy| Anya Taylor-Joy| Haley Lu Richardson| Jessica Sula,13+
4,Sing,Animation|Comedy|Family,Matthew McConaughey|Reese Witherspoon| Seth MacFarlane| Scarlett Johansson,13+
5,Suicide Squad,Action|Adventure|Fantasy,Will Smith| Jared Leto| Margot Robbie| Viola Davis,13+
6,The Great Wall,Action|Adventure|Fantasy,Matt Damon| Tian Jing| Willem Dafoe| Andy Lau,13+
7,La La Land,Comedy|Drama|Music,Ryan Gosling| Emma Stone| Rosemarie DeWitt| J.K. Simmons,13+
8,Mindhorn,Comedy,Essie Davis| Andrea Riseborough| Julian Barratt|Kenneth Branagh,13+
9,The Lost City of Z,Action|Adventure|Biography,Charlie Hunnam| Robert Pattinson| Sienna Miller| Tom Holland,13+
10,Passengers,Adventure|Drama|Romance,Jennifer Lawrence| Chris Pratt| Michael Sheen|Laurence Fishburne,13+
11,Fantastic Beasts and Where to Find Them,Adventure|Family|Fantasy,Eddie Redmayne| Katherine Waterston| Alison Sudol|Dan Fogler,13+
12,Hidden Figures,Biography|Drama|History,Taraji P. Henson| Octavia Spencer| Janelle Monáe|Kevin Costner,13+
13,Rogue One,Action|Adventure|Sci-Fi,Felicity Jones| Diego Luna| Alan Tudyk| Donnie Yen,18+
14,Moana,Animation|Adventure|Comedy,Auli'i Cravalho| Dwayne Johnson| Rachel House| Temuera Morrison,18+
15,Colossal,Action|Comedy|Drama,Anne Hathaway| Jason Sudeikis| Austin Stowell|Tim Blake Nelson,13+
16,The Secret Life of Pets,Animation|Adventure|Comedy,Louis C.K.| Eric Stonestreet| Kevin Hart| Lake Bell,18+
17,Hacksaw Ridge,Biography|Drama|History,Andrew Garfield| Sam Worthington| Luke Bracey|Teresa Palmer,18+
18,Jason Bourne,Action|Thriller,Matt Damon| Tommy Lee Jones| Alicia Vikander|Vincent Cassel,18+
19,Lion,Biography|Drama,Dev Patel| Nicole Kidman| Rooney Mara| Sunny Pawar,13+
20,Arrival,Drama|Mystery|Sci-Fi,Amy Adams| Jeremy Renner| Forest Whitaker|Michael Stuhlbarg,10+
21,Gold,Adventure|Drama|Thriller,Matthew McConaughey| Edgar Ramírez| Bryce Dallas Howard| Corey Stoll,13+
22,Manchester by the Sea,Drama,Casey Affleck| Michelle Williams| Kyle Chandler|Lucas Hedges,13+
23,Hounds of Love,Crime|Drama|Horror,Emma Booth| Ashleigh Cummings| Stephen Curry|Susie Porter,18+
24,Trolls,Animation|Adventure|Comedy,Anna Kendrick| Justin Timberlake|Zooey Deschanel| Christopher Mintz-Plasse,10+
25,Independence Day: Resurgence,Action|Adventure|Sci-Fi,Liam Hemsworth| Jeff Goldblum| Bill Pullman|Maika Monroe,13+
26,Paris pieds nus,Comedy,Fiona Gordon| Dominique Abel|Emmanuelle Riva| Pierre Richard,13+
27,Bahubali: The Beginning,Action|Adventure|Drama,Prabhas| Rana Daggubati| Anushka Shetty|Tamannaah Bhatia,13+
28,Dead Awake,Horror|Thriller,Jocelin Donahue| Jesse Bradford| Jesse Borrego|Lori Petty,18+
29,Bad Moms,Comedy,Mila Kunis| Kathryn Hahn| Kristen Bell|Christina Applegate,10+
30,Assassin's Creed,Action|Adventure|Drama,Michael Fassbender| Marion Cotillard| Jeremy Irons|Brendan Gleeson,10+
31,Why Him?,Comedy,Zoey Deutch| James Franco| Tangie Ambrose|Cedric the Entertainer,18+
32,Nocturnal Animals,Drama|Thriller,Amy Adams| Jake Gyllenhaal| Michael Shannon| Aaron Taylor-Johnson,18+
33,X-Men: Apocalypse,Action|Adventure|Sci-Fi,James McAvoy| Michael Fassbender| Jennifer Lawrence| Nicholas Hoult,13+
34,Deadpool,Action|Adventure|Comedy,Ryan Reynolds| Morena Baccarin| T.J. Miller| Ed Skrein,18+
35,Resident Evil: The Final Chapter,Action|Horror|Sci-Fi,Milla Jovovich| Iain Glen| Ali Larter| Shawn Roberts,13+
36,Captain America: Civil War,Action|Adventure|Sci-Fi,Chris Evans| Robert Downey Jr.|Scarlett Johansson| Sebastian Stan,18+
37,Interstellar,Adventure|Drama|Sci-Fi,Matthew McConaughey| Anne Hathaway| Jessica Chastain| Mackenzie Foy,18+
38,Doctor Strange,Action|Adventure|Fantasy,Benedict Cumberbatch| Chiwetel Ejiofor| Rachel McAdams| Benedict Wong,13+
39,The Magnificent Seven,Action|Adventure|Western,Denzel Washington| Chris Pratt| Ethan Hawke|Vincent D'Onofrio,13+
40,5/25/1977,Comedy|Drama,John Francis Daley| Austin Pendleton| Colleen Camp| Neil Flynn,13+
41,Sausage Party,Animation|Adventure|Comedy,Seth Rogen| Kristen Wiig| Jonah Hill| Alistair Abell,10+
42,Moonlight,Drama,Mahershala Ali| Shariff Earp| Duan Sanderson| Alex R. Hibbert,18+
43,Don't Fuck in the Woods,Horror,Brittany Blanton| Ayse Howard| Roman Jossart|Nadia White,10+
44,The Founder,Biography|Drama|History,Michael Keaton| Nick Offerman| John Carroll Lynch| Linda Cardellini,18+
45,Lowriders,Drama,Gabriel Chavarria| Demián Bichir| Theo Rossi|Tony Revolori,13+
46,Pirates of the Caribbean: On Stranger Tides,Action|Adventure|Fantasy,Johnny Depp| Penélope Cruz| Ian McShane| Geoffrey Rush,13+
47,Miss Sloane,Drama|Thriller,Jessica Chastain| Mark Strong| Gugu Mbatha-Raw|Michael Stuhlbarg,13+
48,Fallen,Adventure|Drama|Fantasy,Hermione Corfield| Addison Timlin| Joely Richardson|Jeremy Irvine,13+
49,Star Trek Beyond,Action|Adventure|Sci-Fi,Chris Pine| Zachary Quinto| Karl Urban| Zoe Saldana,13+
50,The Last Face,Drama,Charlize Theron| Javier Bardem| Adèle Exarchopoulos|Jared Harris,10+
51,Star Wars: Episode VII - The Force Awakens,Action|Adventure|Fantasy,Daisy Ridley| John Boyega| Oscar Isaac| Domhnall Gleeson,13+
52,Underworld: Blood Wars,Action|Adventure|Fantasy,Kate Beckinsale| Theo James| Tobias Menzies| Lara Pulver,10+
53,Mother's Day,Comedy|Drama,Jennifer Aniston| Kate Hudson| Julia Roberts| Jason Sudeikis,13+
54,John Wick,Action|Crime|Thriller,Keanu Reeves| Michael Nyqvist| Alfie Allen| Willem Dafoe,13+
55,The Dark Knight,Action|Crime|Drama,Christian Bale| Heath Ledger| Aaron Eckhart|Michael Caine,10+
56,Silence,Adventure|Drama|History,Andrew Garfield| Adam Driver| Liam Neeson|Tadanobu Asano,18+
57,Don't Breathe,Crime|Horror|Thriller,Stephen Lang| Jane Levy| Dylan Minnette| Daniel Zovatto,13+
58,Me Before You,Drama|Romance,Emilia Clarke| Sam Claflin| Janet McTeer| Charles Dance,13+
59,Their Finest,Comedy|Drama|Romance,Gemma Arterton| Sam Claflin| Bill Nighy| Jack Huston,18+
60,Sully,Biography|Drama,Tom Hanks| Aaron Eckhart| Laura Linney| Valerie Mahaffey,13+
61,Batman v Superman: Dawn of Justice,Action|Adventure|Sci-Fi,Ben Affleck| Henry Cavill| Amy Adams| Jesse Eisenberg,13+
62,The Autopsy of Jane Doe,Horror|Mystery|Thriller,Brian Cox| Emile Hirsch| Ophelia Lovibond| Michael McElhatton,13+
63,The Girl on the Train,Crime|Drama|Mystery,Emily Blunt| Haley Bennett| Rebecca Ferguson| Justin Theroux,18+
64,Fifty Shades of Grey,Drama|Romance|Thriller,Dakota Johnson| Jamie Dornan| Jennifer Ehle|Eloise Mumford,18+
65,The Prestige,Drama|Mystery|Sci-Fi,Christian Bale| Hugh Jackman| Scarlett Johansson| Michael Caine,18+
66,Kingsman: The Secret Service,Action|Adventure|Comedy,Colin Firth| Taron Egerton| Samuel L. Jackson|Michael Caine,18+
67,Patriots Day,Drama|History|Thriller,Mark Wahlberg| Michelle Monaghan| J.K. Simmons| John Goodman,13+
68,Mad Max: Fury Road,Action|Adventure|Sci-Fi,Tom Hardy| Charlize Theron| Nicholas Hoult| Zoë Kravitz,10+
69,Wakefield,Drama,Bryan Cranston| Jennifer Garner| Beverly D'Angelo|Jason O'Mara,13+
70,Deepwater Horizon,Action|Drama|Thriller,Mark Wahlberg| Kurt Russell| Douglas M. Griffin| James DuMont,10+
71,The Promise,Drama|History,Oscar Isaac| Charlotte Le Bon| Christian Bale| Daniel Giménez Cacho,18+
72,Allied,Action|Drama|Romance,Brad Pitt| Marion Cotillard| Jared Harris| Vincent Ebrahim,18+
73,A Monster Calls,Drama|Fantasy,Lewis MacDougall| Sigourney Weaver| Felicity Jones|Toby Kebbell,13+
74,Collateral Beauty,Drama|Romance,Will Smith| Edward Norton| Kate Winslet| Michael Peña,18+
75,Zootopia,Animation|Adventure|Comedy,Ginnifer Goodwin| Jason Bateman| Idris Elba| Jenny Slate,18+
76,Pirates of the Caribbean: At World's End,Action|Adventure|Fantasy,Johnny Depp| Orlando Bloom| Keira Knightley|Geoffrey Rush,13+
77,The Avengers,Action|Sci-Fi,Robert Downey Jr.| Chris Evans| Scarlett Johansson|Jeremy Renner,10+
78,Inglourious Basterds,Adventure|Drama|War,Brad Pitt| Diane Kruger| Eli Roth|Mélanie Laurent,13+
79,Pirates of the Caribbean: Dead Man's Chest,Action|Adventure|Fantasy,Johnny Depp| Orlando Bloom| Keira Knightley| Jack Davenport,13+
80,Ghostbusters,Action|Comedy|Fantasy,Melissa McCarthy| Kristen Wiig| Kate McKinnon| Leslie Jones,13+
81,Inception,Action|Adventure|Sci-Fi,Leonardo DiCaprio| Joseph Gordon-Levitt| Ellen Page| Ken Watanabe,13+
82,Captain Fantastic,Comedy|Drama,Viggo Mortensen| George MacKay| Samantha Isler|Annalise Basso,10+
83,The Wolf of Wall Street,Biography|Comedy|Crime,Leonardo DiCaprio| Jonah Hill| Margot Robbie|Matthew McConaughey,13+
84,Gone Girl,Crime|Drama|Mystery,Ben Affleck| Rosamund Pike| Neil Patrick Harris|Tyler Perry,13+
85,Furious Seven,Action|Crime|Thriller,Vin Diesel| Paul Walker| Dwayne Johnson| Jason Statham,13+
86,Jurassic World,Action|Adventure|Sci-Fi,Chris Pratt| Bryce Dallas Howard| Ty Simpkins|Judy Greer,13+
87,Live by Night,Crime|Drama,Ben Affleck| Elle Fanning| Brendan Gleeson| Chris Messina,18+
